RESOURCE,count,mean,std,normality_p_value,Normality,kruskal_p_value,KRUSKAL,LC_p_value,LCresult
STEP_001/EQP_381_EX1,176.0,60.0892045454545,18.683531249072406,0.0,False,2.202789993747484e-77,False,1.0,DUMMY
STEP_001/EQP_381_EX2,183.0,36.11530054644817,12.702577647575783,0.0,False,2.202789993747484e-77,False,9.657245136857602e-59,WOW
STEP_001/EQP_382_EX1,77.0,73.8000000000001,0.0,0.0,False,2.202789993747484e-77,False,3.475324972963913e-29,BOB
STEP_001/EQP_382_EX2,91.0,58.800000000000104,0.0,0.0,False,2.202789993747484e-77,False,1.0,DUMMY
STEP_001/EQP_386_EX1,38.0,73.80000000000003,0.0,0.0,False,2.202789993747484e-77,False,2.026930979211631e-14,BOB
STEP_001/EQP_386_EX2,38.0,40.0,0.0,0.0,False,2.202789993747484e-77,False,0.0007129504219223648,WOW
STEP_002/EQP_291_2,1.0,81.3,,0.0,False,0.016752807473639723,False,0.051429429244799506,DUMMY
STEP_002/EQP_291_4,1.0,27.5,,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_295_2,1.0,38.8,,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_295_3,1.0,27.5,,0.0,False,0.016752807473639723,False,0.10337650766666723,DUMMY
STEP_002/EQP_295_4,1.0,53.8,,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_297_2,1.0,73.8,,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_297_3,27.0,56.851851851851826,19.305148184842988,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_297_4,25.0,54.739999999999974,20.093386142376964,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_298_2,51.0,47.45490196078432,16.02273776513228,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_298_3,47.0,49.81489361702129,18.48123582734196,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_298_4,63.0,55.307936507936546,18.743706914565472,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_299_2,19.0,54.184210526315766,20.563188878238346,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_299_3,27.0,57.96666666666664,21.088184807174336,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_299_4,13.0,56.77692307692307,22.4944124116099,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_308_2,74.0,52.268918918918985,18.536272664554375,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_308_3,70.0,53.39000000000006,18.767472245690243,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_308_4,63.0,58.73015873015878,17.115081398133082,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_328_2,15.0,53.94666666666665,18.544959525691173,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_328_3,13.0,49.161538461538456,15.706131417461272,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_328_4,10.0,38.52,16.466653171384483,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_329_2,33.0,54.50606060606058,19.34292408404717,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_329_3,35.0,57.674285714285695,16.896194191333755,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_002/EQP_329_4,11.0,66.18181818181817,14.9550538736454,0.0,False,0.016752807473639723,False,1.0,DUMMY
STEP_003/EQP_429_B,39.0,55.9051282051282,17.888866704093225,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_429_C,55.0,51.261818181818214,20.591777313512615,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_433_B,27.0,57.492592592592565,19.69746031903461,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_433_C,17.0,55.611764705882344,19.22670286193596,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_435_B,16.0,56.83124999999998,16.412260406984366,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_435_C,40.0,54.53249999999999,18.989840569941464,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_436_B,17.0,51.0705882352941,18.456325633298547,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_436_C,8.0,45.6625,20.30087524503034,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_437_B,25.0,55.03199999999998,17.97337660726739,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_437_C,15.0,53.62666666666666,17.067992880019048,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_442_B,34.0,47.905882352941155,17.044806214645874,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_442_C,41.0,50.614634146341444,19.528998450709263,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_444_B,116.0,57.52758620689664,17.346612681277087,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_444_C,60.0,54.93333333333339,18.218091833572945,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_447_B,25.0,47.12,19.46047275890285,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_003/EQP_447_C,68.0,54.26029411764712,19.880952706276897,0.0,False,0.36936799334923187,True,1.0,DUMMY
STEP_004/EQP_371_EX1,96.0,64.25520833333341,16.647837664498912,0.0,False,6.195165718879769e-42,False,1.3042154343969108e-08,BOB
STEP_004/EQP_371_EX2,102.0,41.37843137254909,13.614011619156594,0.0,False,6.195165718879769e-42,False,1.8891938492138793e-14,WOW
STEP_004/EQP_372_EX1,21.0,68.0190476190476,14.785148597414196,0.0,False,6.195165718879769e-42,False,0.00010706607386431367,BOB
STEP_004/EQP_372_EX2,24.0,45.18749999999998,15.115506362960376,0.0,False,6.195165718879769e-42,False,1.0,DUMMY
STEP_004/EQP_373_EX1,54.0,60.972222222222264,17.93289816170235,0.0,False,6.195165718879769e-42,False,1.0,DUMMY
STEP_004/EQP_373_EX2,58.0,43.32241379310346,14.104734095187569,0.0,False,6.195165718879769e-42,False,1.0459215184078356e-05,WOW
STEP_004/EQP_375_EX1,120.0,67.3300000000001,14.7987939549481,0.0,False,6.195165718879769e-42,False,1.5018288050121951e-18,BOB
STEP_004/EQP_375_EX2,128.0,44.967187500000094,14.763997012177645,0.0,False,6.195165718879769e-42,False,8.23820674600994e-11,WOW
STEP_005/EQP_289_2,81.0,49.35679012345686,19.286251179736855,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_289_3,40.0,59.8875,21.0616578048163,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_289_4,53.0,52.218867924528325,18.519969021030057,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_294_2,59.0,48.69152542372884,17.36878182590022,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_294_3,23.0,45.79130434782608,16.17272993887826,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_294_4,93.0,55.361290322580714,19.305760754680726,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_295_2,2.0,65.65,9.687362902255709,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_295_3,3.0,62.133333333333326,10.408329997330664,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_298_2,22.0,64.19545454545452,11.871834506320182,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_298_3,33.0,59.09696969696967,18.394419752476647,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_298_4,31.0,60.85161290322578,14.815911963555534,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_299_2,19.0,54.30526315789472,19.836371579169928,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_299_3,11.0,56.05454545454545,15.9995227201541,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_299_4,12.0,53.783333333333324,17.385356080926442,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_303_3,1.0,81.3,,0.0,False,0.002855779956474048,False,0.05140095244181827,DUMMY
STEP_005/EQP_303_4,1.0,26.3,,0.0,False,0.002855779956474048,False,0.05326015494315262,DUMMY
STEP_005/EQP_317_2,7.0,48.785714285714285,19.337479030062198,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_317_3,10.0,62.029999999999994,20.43194938216996,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_317_4,25.0,50.83599999999998,18.96729377990791,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_331_2,30.0,49.27999999999998,18.200860153982493,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_331_3,25.0,55.127999999999986,17.160699286451003,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_005/EQP_331_4,22.0,56.80454545454543,18.86855477526987,0.0,False,0.002855779956474048,False,1.0,DUMMY
STEP_006/EQP_433_B,98.0,55.84897959183681,18.20983785826556,0.0,False,0.15560367683310297,True,1.0,DUMMY
STEP_006/EQP_433_C,129.0,51.448837209302404,18.75628693048293,0.0,False,0.15560367683310297,True,1.0,DUMMY
STEP_006/EQP_435_B,32.0,58.831249999999976,19.71217795367674,0.0,False,0.15560367683310297,True,1.0,DUMMY
STEP_006/EQP_435_C,31.0,56.61612903225804,19.742645833730823,0.0,False,0.15560367683310297,True,1.0,DUMMY
STEP_006/EQP_436_B,79.0,56.587341772151966,17.099245500588214,0.0,False,0.15560367683310297,True,1.0,DUMMY
STEP_006/EQP_436_C,85.0,54.22470588235301,17.24878812777149,0.0,False,0.15560367683310297,True,1.0,DUMMY
STEP_006/EQP_444_B,54.0,52.7703703703704,20.97731595714518,0.0,False,0.15560367683310297,True,1.0,DUMMY
STEP_006/EQP_444_C,93.0,51.6064516129033,19.188911010016973,0.0,False,0.15560367683310297,True,1.0,DUMMY
STEP_007/EQP_279_2,54.0,51.58333333333336,17.868109570478946,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_279_3,72.0,54.89722222222229,19.213082193821517,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_279_4,77.0,55.959740259740315,17.107687251336518,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_281_2,2.0,33.15,7.9903066274079855,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_281_3,5.0,50.279999999999994,21.385906574190397,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_281_4,5.0,40.760000000000005,23.299957081505536,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_283_2,13.0,54.15384615384615,17.201967687090107,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_283_3,30.0,57.693333333333314,16.113732274556753,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_283_4,52.0,56.30576923076925,16.793794529253933,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_285_3,2.0,66.3,10.606601717798213,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_311_3,1.0,53.8,,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_311_4,1.0,72.5,,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_314_2,34.0,53.45588235294116,16.521963181767447,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_314_3,51.0,52.34509803921571,19.71268945350167,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_314_4,32.0,59.11249999999997,22.716254660626863,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_315_2,54.0,51.194444444444464,20.429265141307365,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_315_3,73.0,50.32739726027403,19.73126580014834,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_007/EQP_315_4,45.0,56.34222222222223,17.89232299681129,0.0,False,0.5856046639617283,True,1.0,DUMMY
STEP_008/EQP_448_A,16.0,55.04374999999998,16.673090845231226,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_448_B,7.0,50.214285714285715,19.822666199028205,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_448_C,30.0,52.15999999999998,18.530749840607434,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_449_A,37.0,55.54054054054052,17.937924744633758,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_449_B,37.0,50.26756756756755,19.06365148149241,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_449_C,42.0,55.099999999999994,19.921210659654736,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_450_A,32.0,58.121874999999974,15.17637668464359,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_450_B,27.0,56.011111111111084,16.799595538476822,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_450_C,31.0,54.79354838709675,17.8132522855667,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_451_A,38.0,52.171052631578924,19.14393430002416,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_451_B,36.0,55.24999999999997,20.000321425988563,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_451_C,61.0,52.577049180327904,19.251081298138576,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_453_A,28.0,51.32499999999998,17.647340057671897,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_453_B,21.0,55.68571428571427,18.564543778781253,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_453_C,34.0,53.049999999999976,18.831811416115052,0.0,False,0.9886151301459305,True,1.0,DUMMY
STEP_008/EQP_456_A,41.0,54.973170731707306,21.06866185107925,0.0,False,0.9886151301459305,True,1.0,DUMMY
